,kidneySRR8374780,kidneySRR8374781,liverSRR8374774,liverSRR8374775,lungSRR8374778,lungSRR8374779,sIntestineSRR8374776,sIntestineSRR8374777
ENSMUSG00000002103,249,418,218,275,209,231,250,198
ENSMUSG00000002104,37,58,0,1,11,25,1,0
ENSMUSG00000002105,60,119,6,15,105,113,15,17
ENSMUSG00000002107,98,146,138,120,1335,1603,161,142
ENSMUSG00000002108,667,890,795,998,588,747,689,593
ENSMUSG00000002109,38,141,30,49,144,178,93,58
ENSMUSG00000002111,42,53,46,49,412,574,73,89
ENSMUSG00000002129,325,635,112,185,583,818,490,481
ENSMUSG00000002147,684,1288,411,608,1902,2473,1543,1230
ENSMUSG00000002190,0,1,0,0,2,3,4,2
ENSMUSG00000002204,417,523,1,0,3,13,0,0
ENSMUSG00000002205,716,1037,194,243,629,869,533,542
ENSMUSG00000002210,196,354,52,92,287,425,194,189
ENSMUSG00000002221,261,549,150,189,483,594,294,251
ENSMUSG00000002222,600,2200,668,823,887,1222,911,649
ENSMUSG00000002227,120,253,80,114,203,361,500,544
ENSMUSG00000002228,20,34,3,5,57,69,454,470
ENSMUSG00000002233,927,1041,59,65,1173,1538,1458,1386
ENSMUSG00000002240,0,0,0,0,0,0,0,0
ENSMUSG00000002249,115,334,59,68,269,410,185,176
ENSMUSG00000002250,223,306,56,85,292,354,878,854
ENSMUSG00000002257,31,43,2,3,176,271,27,45
ENSMUSG00000002265,75,542,52,113,338,355,85,84
ENSMUSG00000002266,4,93,0,0,4,20,3,10
ENSMUSG00000002274,4,7,0,1,2,3,1,0
ENSMUSG00000002279,399,529,374,317,230,277,125,126
ENSMUSG00000002280,92,146,22,35,52,55,47,24
ENSMUSG00000002289,954,2337,2325,1914,1378,1676,911,523
ENSMUSG00000002297,40,55,33,21,139,152,162,150
ENSMUSG00000002307,211,304,75,111,447,574,274,271
ENSMUSG00000002308,362,423,46,57,150,174,78,98
ENSMUSG00000002319,238,387,163,147,324,381,124,159
ENSMUSG00000002320,716,1140,251,331,491,699,464,393
ENSMUSG00000002324,123,268,21,37,118,185,566,800
ENSMUSG00000002325,192,313,260,399,930,1318,644,593
ENSMUSG00000002326,16,49,15,14,32,30,14,12
ENSMUSG00000002329,434,551,85,129,375,528,566,463
ENSMUSG00000002332,2159,2508,1102,1380,640,964,3650,4722
ENSMUSG00000002341,0,0,0,0,0,6,0,0
ENSMUSG00000002342,542,706,159,253,536,852,389,380
ENSMUSG00000002343,134,169,70,97,220,296,148,147
ENSMUSG00000002345,0,1,1,1,5,5,0,2
ENSMUSG00000002346,833,2319,732,842,256,361,187,209
ENSMUSG00000002365,1113,1686,276,383,725,987,1626,1216
ENSMUSG00000002372,327,511,236,341,784,1185,507,468
ENSMUSG00000002379,1097,1077,270,355,369,570,625,747
ENSMUSG00000002384,0,2,1,2,3,1,39,20
ENSMUSG00000002393,327,375,96,170,99,146,133,115
ENSMUSG00000002395,608,678,224,336,1095,1484,666,637
ENSMUSG00000002396,144,169,37,50,122,209,119,120
ENSMUSG00000002409,212,282,75,64,199,266,90,101
